month,ridership
01/01/1991,1708.917
01/02/1991,1620.586
01/03/1991,1972.715
01/04/1991,1811.665
01/05/1991,1974.964
01/06/1991,1862.356
01/07/1991,1939.86
01/08/1991,2013.264
01/09/1991,1595.657
01/10/1991,1724.924
01/11/1991,1675.667
01/12/1991,1813.863
01/01/1992,1614.827
01/02/1992,1557.088
01/03/1992,1891.223
01/04/1992,1955.981
01/05/1992,1884.714
01/06/1992,1623.042
01/07/1992,1903.309
01/08/1992,1996.712
01/09/1992,1703.897
01/10/1992,1810.0
01/11/1992,1861.601
01/12/1992,1875.122
01/01/1993,1705.259
01/02/1993,1618.535
01/03/1993,1836.709
01/04/1993,1957.043
01/05/1993,1917.185
01/06/1993,1882.398
01/07/1993,1933.009
01/08/1993,1996.167
01/09/1993,1672.841
01/10/1993,1752.827
01/11/1993,1720.377
01/12/1993,1734.292
01/01/1994,1563.365
01/02/1994,1573.959
01/03/1994,1902.639
01/04/1994,1833.888
01/05/1994,1831.049
01/06/1994,1775.755
01/07/1994,1867.508
01/08/1994,1906.608
01/09/1994,1685.632
01/10/1994,1778.546
01/11/1994,1775.995
01/12/1994,1783.35
01/01/1995,1548.415
01/02/1995,1496.925
01/03/1995,1798.316
01/04/1995,1732.895
01/05/1995,1772.345
01/06/1995,1761.207
01/07/1995,1791.655
01/08/1995,1874.82
01/09/1995,1571.309
01/10/1995,1646.948
01/11/1995,1672.631
01/12/1995,1656.845
01/01/1996,1381.758
01/02/1996,1360.852
01/03/1996,1558.575
01/04/1996,1608.42
01/05/1996,1696.696
01/06/1996,1693.183
01/07/1996,1835.516
01/08/1996,1942.573
01/09/1996,1551.401
01/10/1996,1686.508
01/11/1996,1576.204
01/12/1996,1700.433
01/01/1997,1396.588
01/02/1997,1371.69
01/03/1997,1707.522
01/04/1997,1654.604
01/05/1997,1762.903
01/06/1997,1775.8
01/07/1997,1934.219
01/08/1997,2008.055
01/09/1997,1615.924
01/10/1997,1773.91
01/11/1997,1732.368
01/12/1997,1796.626
01/01/1998,1570.33
01/02/1998,1412.691
01/03/1998,1754.641
01/04/1998,1824.932
01/05/1998,1843.289
01/06/1998,1825.964
01/07/1998,1968.172
01/08/1998,1921.645
01/09/1998,1669.597
01/10/1998,1791.474
01/11/1998,1816.714
01/12/1998,1846.754
01/01/1999,1599.427
01/02/1999,1548.804
01/03/1999,1832.333
01/04/1999,1839.72
01/05/1999,1846.498
01/06/1999,1864.852
01/07/1999,1965.743
01/08/1999,1949.002
01/09/1999,1607.373
01/10/1999,1803.664
01/11/1999,1850.309
01/12/1999,1836.435
01/01/2000,1541.66
01/02/2000,1616.928
01/03/2000,1919.538
01/04/2000,1971.493
01/05/2000,1992.301
01/06/2000,2009.763
01/07/2000,2053.996
01/08/2000,2097.471
01/09/2000,1823.706
01/10/2000,1976.997
01/11/2000,1981.408
01/12/2000,2000.153
01/01/2001,1683.148
01/02/2001,1663.404
01/03/2001,2007.928
01/04/2001,2023.792
01/05/2001,2047.008
01/06/2001,2072.913
01/07/2001,2126.717
01/08/2001,2202.638
01/09/2001,1707.693
01/10/2001,1950.716
01/11/2001,1973.614
01/12/2001,1984.729
01/01/2002,1759.629
01/02/2002,1770.595
01/03/2002,2019.912
01/04/2002,2048.398
01/05/2002,2068.763
01/06/2002,1994.267
01/07/2002,2075.258
01/08/2002,2026.56
01/09/2002,1734.155
01/10/2002,1916.771
01/11/2002,1858.345
01/12/2002,1996.352
01/01/2003,1778.033
01/02/2003,1749.489
01/03/2003,2066.466
01/04/2003,2098.899
01/05/2003,2104.911
01/06/2003,2129.671
01/07/2003,2223.349
01/08/2003,2174.36
01/09/2003,1931.406
01/10/2003,2121.47
01/11/2003,2076.054
01/12/2003,2140.677
01/01/2004,1831.508
01/02/2004,1838.006
01/03/2004,2132.446
